E1,Relation,E2
A1C targets,should be achieved,within 6 months
AASI,were associated with,estimated glomerular filtration rate eGFR
aberrant expression of SGLT2,causes,intracellular accumulation of glucose
aberrant expression of SGLT2,leads to,intracellular accumulation of glucose
aberrant expression of SGLT2,results in,intracellular accumulation of glucose
aberrant expression of SGLT2 in endothelial cells in T2DM,causes,intracellular glucose accumulation
ability to assess liver steatosis,may open new,"diagnostic, therapeutic, and prognostic avenues"
ability to assess liver steatosis,may open new avenues for managing,metabolic
Abnormal Aβ deposition,causes,tau hyperphosphorylation
abnormal glycaemic results,may result from,improper administration
abnormal lipid metabolism,can lead to,abnormal insulin signaling
abnormal lipid metabolism,can lead to,disrupt glucose metabolism
abnormal spermatozoa,were caused by,body fat percentage
abnormal spermatozoa,are associated with,body fat percentage
abnormal spermatozoa,were caused by,resistin
abnormal spermatozoa,are associated with,resistin
abnormalities,cause,accumulation of fat in the liver
abnormality in the brain's protein function,causes,disruption in the brain network
abnormality in the brain's protein function,results in,loss of neural connectivity
abnormality in the brain's protein function,causes,loss of neural connectivity
ABO,associated with,decreased risk
abrupt change in glucose levels,causes,condition
abrupt change in glucose levels,is caused by,medical management
abrupt change in glucose levels,can cause,neuropathic symptoms
abrupt change in glucose levels,causes,the condition
absence of a Mediterranean diet,associated with,higher diabetes risk
abundance of Lactobacillus,increases due to,Artemether
accumulation of amyloid-β (Aβ) plaques,is associated with,Alzheimer's disease
accumulation of fat in the liver,caused by,metabolic abnormalities
accumulation of fat in the liver,is eventually caused by,metabolic abnormalities
accumulation of fat in the liver,leads to,progression of metabolic dysfunction-associated fatty liver disease (MAFLD)
accumulation of lipoproteins and cholesterol,due to,Type 2 DM forms plug-in veins
accumulation of neurofibrillary tangles (NFTs),is associated with,Alzheimer's disease
achieving good glycaemic control,is essential to,reducing the risk of diabetes complications
achieving near-normal blood glucose levels,reduces,risk of diabetes-related cardiovascular outcomes
ACM,was associated with,C9
ACM,was associated with,CANCAS1
ACS,remains a leading cause of,cardiovascular morbidity
ACS,is a leading cause of,cardiovascular morbidity and mortality
ACS,is associated with,T2DM
action,prevents,rebound hypoglycemia
actions of bilirubin,are caused by,binding to the PPARα nuclear receptor transcription factor
activation of caspase signal pathway,was the reason for,stronger apoptosis
activation of dual GLP-1 and GCGR,contributed to,enhanced cognitive resilience
activation of GSK-3β by ApoE ε4,is associated with,Alzheimer's disease pathogenesis
activation of NFκB2,resulted in,inflammatory damage
activation of PI3K-AKT and MEK-ERK pathways,results in,increased VCAM1 expression
activation of the ATP-sensitive potassium channel pathway,leads to,disturbances in insulin secretion
activation of the NLRP3 inflammasome,contributes to,inflammatory processes
activation of the pathways,leads to,the effects
activation of the PI3K-AKT pathway,led to,decreased VCAM1 expression
activation of the xCT/GPX4 pathway,by,Plantamajoside
activation of these pathways,can cause,decrease in the development of AS
activation of these pathways,can lead to,decrease in the development of AS
activation of these pathways,can cause,reduction
activation of these pathways,can lead to,reduction in the development of AS
activation of these pathways,can result in,reduction in the development of AS
activity,potentially reduces,risk of CVD
activity of glycogen synthase kinase-3β,is associated with,relationship between ApoE ε4 and cognitive impairment
acute a single session of moderate-intensity exercise,positively impacts,glucose regulation and myokine modulation
acute counteraction,of,inflammation
acute counteraction,of,insulin resistance
acute counteraction,of,insulin resistance and inflammation
acute counteraction,is caused by,short-chain fatty acids
acute counteraction of inflammation,is caused by,short-chain fatty acids
acute counteraction of insulin resistance,is caused by,short-chain fatty acids
acute counteraction of insulin resistance and inflammation,is caused by,short-chain fatty acids
acute ischemic stroke,is the reason for,unclear relationship
Acute suppurative otitis media (ASOM),associated with,an increased risk
acylcarnitine (AC),are associated with,insulin resistance
AD progression and pathology,may be aggravated by,these pathways
AD progression and pathology,may be caused by,these pathways
AD progression and pathology,may be worsened by,these pathways
AD progression and pathology,are associated with,these pathways
AD progression and pathology,is associated with,these pathways
ADAM17,is associated with,ADAM17
ADAM17,is associated with,associated pathways
ADAM17,may influence,emergence of mild cognitive impairment
ADAM17,can cleave and release,TNF-α
ADAM17,can cleave and release,TNF-α from its membrane-bound precursor
ADAM17,cause,TNF-α to become activated
adaptation,is caused by,Western dietary patterns
adapted diabetes complication severity index evaluation,at the time of,type 2 adapted diabetes complication severity index
additional research,with,larger sample size
additional research,to investigate,long-term impact of these medications on various metabolic indicators
additive models,uses,study
adenosine triphosphate-citrate lyase inhibition,was not associated with,risk of T2DM
adenovirus,was used to,confirm the effects of Delta/Notch-like epidermal growth factor-related receptor in vivo
adipocytokines,contribute to,chronic low-grade inflammation
Adipocytokines,contribute to,chronic low-grade inflammation
adipocytokines,cause,insulin resistance
adipocytokines,and,macrophages infiltrating adipose tissue
adipocytokines,along with,macrophages infiltrating adipose tissue
adipocytokines and macrophages infiltrating adipose tissue,cause,chronic low-grade inflammation
adipokine,improves,metabolic derangements
adiposity-related SNPs,influenced,BMI
adiposity-related SNPs,influenced,body fat percentage
adiposity-related SNPs,including,"those in PDK3 (rs7889665), PGK1 (rs2076630), and IDH2 (rs62019177)"
adjustable risk factors,of,causal roles
adjusted odds ratio (OR),for,T2DM associated with hs-CRP/HDL levels
adjusted odds ratios,show that,demonstrating better insulin injection techniques is associated with achieving good glycemic control in Thai adults with insulin-treated T2DM
adjusted odds ratios,show that,having a less negative attitude toward insulin treatment is associated with achieving good glycemic control in Thai adults with insulin-treated T2DM
adjusted odds ratios,show that,performing SMBG at least 3 times per week is associated with achieving good glycemic control in Thai adults with insulin-treated T2DM
adjusting for confounders,after,insulin use was associated with a 1.20 higher hazard of requiring glaucoma surgery compared to oral hypoglycaemic agents
"adjusting for gender, age, BMI, education level, and health benefits",associated with,achieving good glycemic control in Thai adults with insulin-treated T2DM
"adjusting for gender, age, BMI, education level, and health benefits",after,performing better diabetes self-management
administration,led to,decrease in transaminase activity
administration,led to,improvement in the lipid profile
administration,caused,necrosis
administration,led to,reduction in OS markers
administration form,caused,divergences
administration of a combination of insulin and metformin,reduces,risk of developing diabetes in patients with pre-existing insulin resistance
administration of BACE1 inhibitor,led to,enhanced glucose tolerance
administration of BACE1 inhibitor,led to,improved glucose tolerance
administration of BACE1 inhibitor,led to,improved insulin sensitivity
administration of BACE1 inhibitor,led to,increased insulin sensitivity
administration of CycloRGDyk,had a negative impact on,rats with Type 2 diabetes mellitus
administration of Tacrolimus (1mg/kg/day),induced,changes in morphological and structural characteristics of the pancreas
administration of Tacrolimus (1mg/kg/day),induced,severe hyperglycaemia
adolescents with a clinical diagnosis of T2DM,to be predicted by,"anti-GAD65, anti-IA2 and anti-Zn8T"
adult patients with type 2 diabetes mellitus (T2DM),seeking treatment in,tertiary care settings
adults,with,type 2 diabetes mellitus
adults living with T2DM,were associated with,Portfolio Diet
advanced glycation end products,cause,inflammatory response
Advanced glycation end products,cause,the inflammatory response
advanced stage of OSCC in patients with T2DM,results in,reduced survival
adverse cardiac remodelling,is directly caused by,Type 2 diabetes mellitus
adverse changes in biomarkers of aging,are associated with,elevated adiposity and glucose intolerance
adverse changes in body composition,are associated with,elevated adiposity and glucose intolerance
"adverse changes in body composition, physical function, and biomarkers of aging",is associated with,glucose intolerance
adverse changes in physical function,are associated with,elevated adiposity and glucose intolerance
AEIOU TIPS,includes,causes related to blood loss
AEIOU TIPS mnemonic,includes,causes related to Syncope
aerobic exercise-trained mice,have a positive impact on,recovery of Type-2 diabetes mellitus-induced sarcopenia
age,modified by,associations between Triglyceride-glucose index and all-cause/cause-specific death
age,was positively associated with,atrial fibrillation (AF)
age,adjusting for,having a less negative attitude toward insulin treatment
age,associated with,increased mortality
age,was independently associated with,Pancreatic β-cell dysfunction
age at onset of diabetes,association between,risk of all-cause mortality
age interaction,to the association between,Triglyceride-glucose index and all-cause/non-CV mortality
age-related factors,associated with,insulin therapy in older individuals with type 2 diabetes
age-related factors,impact,safety of insulin therapy
"age, education, disease duration, comorbidity, and BMI",influenced,effectiveness of HbA1c reduction
aging,associated with,inflammation
agmatine,has effect on,microglial polarization
agmatine,has been investigated on,microglial polarization
agmatine (100 μM),caused the upregulation of,CD206 in the HG condition
agmatine (100 μM),with,cells into the M2 phenotype
agmatine (100 μM),induced,M2 phenotype
agriculture,contribute to,emissions
AHI,is associated with,arteriosclerosis
AKT activation,influences,energy metabolism in T2DM
alanine aminotransferase levels,can predict,drug responses
albumin,played a mediating role in,association between all-cause mortality and cardiovascular mortality
albumin,may causally contribute to,development of T1DM
albumin,may causally contribute to,protection
albumin,may causally contribute to,protection against T1DM
albumin,may causally contribute to,protection against T2DM
albumin,contribute to,protection against the development of T1DM
albumin,may causally contribute to,protection against the development of T1DM
Albuminuria,predicted by,Weight-adjusted waist index
alcohol consumption,is associated with,eGFR decline
alcohol intake frequency,causal association between,Endometrial carcinoma risk
alcohol-induced pancreatitis,includes,causes
ALD,was positively associated with,glucose metabolism impairment
ALD,was positively associated with,insulin resistance
ALD levels,increased with,CP
ALD levels,increased with,higher levels of CP
ALD levels,increased with,higher levels of HOMA-IR
algorithms,predict,outcomes of the experiment
alkaline phosphatase (ALP),on,all-cause mortality and cardiovascular disease (CVD) mortality
all MR analyses,yielded,non-significant results
all-cause mortality,was adjusted for,comorbidities
all-cause mortality,were associated with,HR and CI values
all-cause mortality,was adjusted for,in-hospital medications
all-cause mortality,risk of is increased with,metabolic syndrome
