PMID,Title,csv_name,SentenceIndex,Sentence,predicted_label_id,predicted_label
40766125,"Temporal sequence of amyloid and tau PET positivity: APOE -ε4 and sex effects, and implications for Alzheimer's disease progression.",AD,0,IMPORTANCE: Alzheimer's disease Alzheimer's disease progression varies widely among individuals.,4,Simple Sentence
40766125,"Temporal sequence of amyloid and tau PET positivity: APOE -ε4 and sex effects, and implications for Alzheimer's disease progression.",AD,1,Identifying factors influencing timing of pathology and clinical progression is crucial for optimizing early intervention trials.,4,Simple Sentence
40766125,"Temporal sequence of amyloid and tau PET positivity: APOE -ε4 and sex effects, and implications for Alzheimer's disease progression.",AD,2,"OBJECTIVE: To investigate how estimated age at amyloid and tau PET positivity, and the time interval between amyloid and tau PET positivity amyloid-tau relate to symptom onset and clinical progression, and whether APOE- ε4 status and sex modify these associations.",2,Compound-Complex Sentence
40766125,"Temporal sequence of amyloid and tau PET positivity: APOE -ε4 and sex effects, and implications for Alzheimer's disease progression.",AD,3,DESIGN: Longitudinal observational study.,3,Incomplete Sentence
40766125,"Temporal sequence of amyloid and tau PET positivity: APOE -ε4 and sex effects, and implications for Alzheimer's disease progression.",AD,4,SETTING: Multicenter study using data from the Alzheimer's disease Disease Neuroimaging Alzheimer's Disease Neuroimaging Initiative (ADNI).,3,Incomplete Sentence
40766125,"Temporal sequence of amyloid and tau PET positivity: APOE -ε4 and sex effects, and implications for Alzheimer's disease progression.",AD,5,PARTICIPANTS: Alzheimer's Disease Neuroimaging Initiative participants with at least one positive amyloid PET scan (n=792) or at least one positive tau PET scan (n=212) were included.,4,Simple Sentence
40766125,"Temporal sequence of amyloid and tau PET positivity: APOE -ε4 and sex effects, and implications for Alzheimer's disease progression.",AD,6,"Both cognitively unimpaired and impaired individuals were included and all had information on sex, APOE- ε4 status, and longitudinal cognitive assessments.",1,Compound Sentence
40766125,"Temporal sequence of amyloid and tau PET positivity: APOE -ε4 and sex effects, and implications for Alzheimer's disease progression.",AD,7,"EXPOSURES: (18) F-florbetapir or (18) F-florbetaben amyloid PET, (18) F-flortaucipir tau PET, CDR global, CDR-SB.",3,Incomplete Sentence
40766125,"Temporal sequence of amyloid and tau PET positivity: APOE -ε4 and sex effects, and implications for Alzheimer's disease progression.",AD,8,"MAIN OUTCOMES AND MEASURES: We examined the influence of APOE -ε4 status, sex, and APOE-ε4 status and sex interaction on APOE-ε4 status and sex age at biomarker positivity and the amyloid-tau interval.",0,Complex Sentence
40766125,"Temporal sequence of amyloid and tau PET positivity: APOE -ε4 and sex effects, and implications for Alzheimer's disease progression.",AD,9,Accelerated Failure Time (AFT) models were used to predict time to symptom onset based on biomarker positivity age and the amyloid-tau interval.,4,Simple Sentence
40766125,"Temporal sequence of amyloid and tau PET positivity: APOE -ε4 and sex effects, and implications for Alzheimer's disease progression.",AD,10,"Linear mixed-effects (LME) models evaluated differences in the rate of cognitive decline over five years following symptom onset, by biomarker positivity age and amyloid-tau interval duration.",0,Complex Sentence
40766125,"Temporal sequence of amyloid and tau PET positivity: APOE -ε4 and sex effects, and implications for Alzheimer's disease progression.",AD,11,Additional models included interaction terms APOE-ε4 status and sex sex or APOE -ε4 status.,4,Simple Sentence
40766125,"Temporal sequence of amyloid and tau PET positivity: APOE -ε4 and sex effects, and implications for Alzheimer's disease progression.",AD,12,"RESULTS: APOE- ε,4 carriers and women had earlier amyloid and tau PET positivity ages.",4,Simple Sentence
40766125,"Temporal sequence of amyloid and tau PET positivity: APOE -ε4 and sex effects, and implications for Alzheimer's disease progression.",AD,13,"APOE- ε,4 carriers, women, and APOE-ε4 carriers, women, and those with older age at amyloid PET positivity with older age at amyloid PET positivity had a shorter amyloid-tau interval.",1,Compound Sentence
40766125,"Temporal sequence of amyloid and tau PET positivity: APOE -ε4 and sex effects, and implications for Alzheimer's disease progression.",AD,14,An older age at amyloid or tau PET positivity and a shorter amyloid-tau interval predicted earlier symptom onset.,4,Simple Sentence
40766125,"Temporal sequence of amyloid and tau PET positivity: APOE -ε4 and sex effects, and implications for Alzheimer's disease progression.",AD,15,An older age at those with older age at amyloid or tau PET positivity or tau PET positivity was also associated with those with older age at amyloid or tau PET positivity rate of cognitive decline after symptom onset.,0,Complex Sentence
40766125,"Temporal sequence of amyloid and tau PET positivity: APOE -ε4 and sex effects, and implications for Alzheimer's disease progression.",AD,16,The amyloid-tau interval did not influence time until symptom onset after tau PET positivity or those with older age at amyloid or tau PET positivity of cognitive decline.,4,Simple Sentence
40766125,"Temporal sequence of amyloid and tau PET positivity: APOE -ε4 and sex effects, and implications for Alzheimer's disease progression.",AD,17,"CONCLUSIONS AND RELEVANCE: APOE- ε4 and sex influenced the timing of amyloid and tau PET positivity and the amyloid-tau interval, which in turn affected symptom onset and clinical progression.",0,Complex Sentence
40766125,"Temporal sequence of amyloid and tau PET positivity: APOE -ε4 and sex effects, and implications for Alzheimer's disease progression.",AD,18,"those with older age at amyloid or tau PET positivity factors should guide the identification of amyloid-positive individuals at highest risk of rapid Alzheimer's disease progression, enabling more efficient selection of those with older age at amyloid or tau PET positivity for clinical trials.",0,Complex Sentence
39817469,APOE4 impact on soluble and insoluble tau pathology is mostly influenced by amyloid-β.,AD,0,The APOE4 allele is the strongest genetic risk factor for sporadic Alzheimer's disease (AD).,4,Simple Sentence
39817469,APOE4 impact on soluble and insoluble tau pathology is mostly influenced by amyloid-β.,AD,1,"Although APOE4 allele is strongly associated with amyloid-β (Aβ), APOE4 allele relationship with tau accumulation is less understood.",0,Complex Sentence
39817469,APOE4 impact on soluble and insoluble tau pathology is mostly influenced by amyloid-β.,AD,2,"Studies evaluating the role of APOE4 allele on tau accumulation showed conflicting results, particularly regarding the independence of these associations from amyloid-β load.",0,Complex Sentence
39817469,APOE4 impact on soluble and insoluble tau pathology is mostly influenced by amyloid-β.,AD,3,"In this study, we examined three independent longitudinal cohorts (BioFINDER-1, BioFINDER-2 and WRAP), in which participants had cross-sectional and longitudinal measures of tau tangles [tau-PET; temporal meta-region of interest (meta-ROI) and entorhinal] or soluble p-tau (p-tau217), Aβ-PET and APOE genotype.",0,Complex Sentence
