PMID,Title,Abstract,csv_name
40766125,"Temporal sequence of amyloid and tau PET positivity: APOE -ε4 and sex effects, and implications for Alzheimer's disease progression.","IMPORTANCE: Alzheimer's disease (AD) progression varies widely among individuals. Identifying factors influencing timing of pathology and clinical progression is crucial for optimizing early intervention trials. OBJECTIVE: To investigate how estimated age at amyloid and tau PET positivity, and the time interval between amyloid and tau PET positivity (""amyloid-tau interval""), relate to symptom onset and clinical progression, and whether APOE- ε4 status and sex modify these associations. DESIGN: Longitudinal observational study. SETTING: Multicenter study using data from the Alzheimer's Disease Neuroimaging Initiative (ADNI). PARTICIPANTS: ADNI participants with at least one positive amyloid PET scan (n=792) or at least one positive tau PET scan (n=212) were included. Both cognitively unimpaired and impaired individuals were included and all had information on sex, APOE- ε4 status, and longitudinal cognitive assessments. EXPOSURES: (18) F-florbetapir or (18) F-florbetaben amyloid PET, (18) F-flortaucipir tau PET, CDR global, CDR-SB. MAIN OUTCOMES AND MEASURES: We examined the influence of APOE -ε4 status, sex, and their interaction on the age at biomarker positivity and the amyloid-tau interval. Accelerated Failure Time (AFT) models were used to predict time to symptom onset based on biomarker positivity age and the amyloid-tau interval. Linear mixed-effects (LME) models evaluated differences in the rate of cognitive decline over five years following symptom onset, by biomarker positivity age and amyloid-tau interval duration. Additional models included interaction terms with sex or APOE -ε4 status. RESULTS: APOE- ε,4 carriers and women had earlier amyloid and tau PET positivity ages. APOE- ε,4 carriers, women, and those with older age at amyloid PET positivity had a shorter amyloid-tau interval. An older age at amyloid or tau PET positivity and a shorter amyloid-tau interval predicted earlier symptom onset. An older age at amyloid or tau PET positivity was also associated with slower rate of cognitive decline after symptom onset. The amyloid-tau interval did not influence time until symptom onset after tau PET positivity or rate of cognitive decline. CONCLUSIONS AND RELEVANCE: APOE- ε4 and sex influenced the timing of amyloid and tau PET positivity and the amyloid-tau interval, which in turn affected symptom onset and clinical progression. These factors should guide the identification of amyloid-positive individuals at highest risk of rapid AD progression, enabling more efficient selection of participants for clinical trials.",AD
39817469,APOE4 impact on soluble and insoluble tau pathology is mostly influenced by amyloid-β.,"The APOE4 allele is the strongest genetic risk factor for sporadic Alzheimer's disease (AD). Although APOE4 is strongly associated with amyloid-β (Aβ), its relationship with tau accumulation is less understood. Studies evaluating the role of APOE4 on tau accumulation showed conflicting results, particularly regarding the independence of these associations from Aβ load. In this study, we examined three independent longitudinal cohorts (BioFINDER-1, BioFINDER-2 and WRAP), in which participants had cross-sectional and longitudinal measures of tau tangles [tau-PET; temporal meta-region of interest (meta-ROI) and entorhinal] or soluble p-tau (p-tau217), Aβ-PET and APOE genotype. The study included a total of 1370 cognitively unimpaired subjects and 449 with mild cognitive impairment, followed longitudinally with tau-PET and p-tau217. APOE4 carriers accounted for 40.2%-50% of the cohorts. Different linear regressions (cross-sectional) and linear mixed-effect models (longitudinal) with tau measures as outcomes were fitted to test the effect of APOE4 both as an independent predictor and in combination with baseline Aβ load (including interaction). All models included age, sex and cognitive status as covariates. We found no independent effects of APOE4 carriership on insoluble tau in either cohort (BioFINDER-2 or WRAP), on both cross-sectional and longitudinal tau-PET in the temporal meta-ROI, when Aβ was present in the model (P = 0.531-0.949). Aβ alone was the best predictor of insoluble tau accumulation, with no interaction between APOE4 and Aβ on tau-PET. In BioFINDER-2, there was a significant interaction between APOE4 and Aβ (b = 0.166, P < 0.001) in the entorhinal cortex at baseline. However, the interaction was not present in WRAP PET. No independent effects of the APOE4 carriership on baseline (P = 0.683-0.708) and longitudinal (P = 0.188-0.570) soluble p-tau217 were observed when Aβ was included in the model in BioFINDER-1 and WRAP. Likewise, no interaction between APOE4 and Aβ on soluble p-tau217 was observed. Mediation analysis revealed that Aβ load fully mediated most associations between APOE4 and tau (46%-112%, either cross-sectional or longitudinal tau-PET or soluble p-tau217). In the largest cohort (BioFINDER-2), looking at APOE4 groups by the number of ε4 alleles, we found an interaction between APOE4 homozygotes and Aβ on tau-PET levels at baseline and over time in the temporal meta-ROI, whereas in the entorhinal cortex this effect was observed only at baseline. In conclusion, although APOE4 is strongly associated with Aβ aggregation, it seems to be associated minimally with longitudinal changes in soluble or insoluble p-tau levels at a given level of Aβ pathology, confirming the primacy of Aβ in driving tau pathology.",AD
39988568,Influence of cognitive impairment and race on plasma p-Tau(217) in two diverse cohorts.,"INTRODUCTION: Factors influencing plasma Alzheimer's disease (AD) biomarkers remain incompletely understood. Here we evaluated Fujirebio plasma p-Tau(217) in two diverse cohorts among whom 91% underwent cerebrospinal fluid (CSF) analysis. METHODS: Non-Hispanic White (NHW, n = 113), Black/African American (B/AA, n = 66), and Chinese American (ChA, n = 38) participants recruited from two universities were included. We examined if plasma p-Tau(217) correlated with CSF and clinical factors, differed between racial groups, and associated with novel CSF proteins. RESULTS: CSF p-Tau(181) strongly correlated with CSF p-Tau(217) (R(2 )= 0.912) which moderately correlated with plasma p-Tau(217) (R(2 )= 0.694). Plasma p-Tau(217) levels were higher with greater cognitive impairment but lower in B/AA than NHW participants even after adjusting for CSF p-Tau(181). This resulted in greater positive predictive value for NHW than B/AA participants, and could be mediated by complement or lysosomal pathways. DISCUSSION: Severity of cognitive impairment and race both influence plasma p-Tau(217) levels beyond race-associated differences in CSF p-Tau(181). HIGHLIGHTS: Cognitive impairment associates with plasma p-Tau(217) independent of CSF biomarkers. Black/African Americans had lower plasma p-Tau(217) than non-Hispanic White Americans. CSF p-Tau(181) could not explain lower plasma p-Tau(217) in Black/African Americans. Plasma p-Tau(217) difference results in more false positive cases according to race. Novel CSF processes were associated with race-related plasma p-Tau(217) difference.",AD
39434139,"CSF and blood levels of Neurofilaments, T-Tau, P-Tau, and Abeta-42 in amyotrophic lateral sclerosis: a systematic review and meta-analysis.","Recent literature suggests that markers of neuroaxonal damage, such as neurofilaments and tau protein, might serve as potential biomarkers for ALS. We conducted this systematic review and meta-analysis study to compare cerebrospinal fluid (CSF) and blood levels of total tau (t-tau), phosphorylated tau (p-tau), amyloid beta peptide 42 (Abeta-42), and neurofilaments in ALS patients and controls. A systematic search of Cochrane Library, PubMed, Embase, and ISI Web of Science was conducted on March 18, 2022, and updated on January 26, 2023. Observational studies that compared the concentrations of neurofilament light chain (NfL), neurofilament heavy chain (NFH), t-tau, p-tau, or Abeta-42 in CSF or peripheral blood of ALS patients and controls were included. Data from relevant studies were independently extracted and screened for quality using a standard tool, by at least two authors. Meta-analysis was conducted when a minimum of 3 studies reported the same biomarker within the same biofluid. A total of 100 studies were eligible for at least one meta-analysis. CSF and blood levels of NfL (standardized mean difference (SMD) [95% CI]; CSF: 1.46 [1.25-1.68]; blood: 1.35 [1.09-1.60]) and NFH (CSF: 1.32 [1.13-1.50], blood: 0.90 [0.58-1.22]) were significantly higher in ALS patients compared with controls. The pooled differences between ALS patients and controls were not significant for CSF t-tau, blood t-tau, and CSF Abeta-42, but CSF p-tau was lower in ALS patients (-0.27 [-0.47- -0.07]). Significantly decreased p-tau/t-tau ratios were found in ALS patients compared with controls (-0.84 [-1.16- -0.53]). Heterogeneity was considerable in most of our meta-analyses. CSF and blood neurofilament levels, as well as the CSF p-tau/t-tau ratio, might be potential candidates for improving ALS diagnosis. Further research is warranted to better understand the underlying mechanisms and the clinical implications of these biomarker alterations.",AD
39080744,Astrocyte reactivity is associated with tau tangle load and cortical thinning in Alzheimer's disease.,"BACKGROUND: It is not fully established whether plasma β-amyloid(Aβ)(42)/Aβ(40) and phosphorylated Tau(181) (p-Tau(181)) can effectively detect Alzheimer's disease (AD) pathophysiology in older Chinese adults and how these biomarkers correlate with astrocyte reactivity, Aβ plaque deposition, tau tangle aggregation, and neurodegeneration. METHODS: We recruited 470 older adults and analyzed plasma Aβ(42)/Aβ(40), p-Tau(181), glial fibrillary acidic protein (GFAP), and neurofilament light (NfL) using the Simoa platform. Among them, 301, 195, and 70 underwent magnetic resonance imaging, Aβ and tau positron emission tomography imaging. The plasma Aβ(42)/Aβ(40) and p-Tau(181) thresholds were defined as ≤0.0609 and ≥2.418 based on the receiver operating characteristic curve analysis using the Youden index by comparing Aβ-PET negative cognitively unimpaired individuals and Aβ-PET positive cognitively impaired patients. To evaluate the feasibility of using plasma Aβ(42)/Aβ(40) (A) and p-Tau(181) (T) to detect AD and understand how astrocyte reactivity affects this process, we compared plasma GFAP, Aβ plaque, tau tangle, plasma NfL, hippocampal volume, and temporal-metaROI cortical thickness between different plasma A/T profiles and explored their relations with each other using general linear models, including age, sex, APOE-ε4, and diagnosis as covariates. RESULTS: Plasma A+/T + individuals showed the highest levels of astrocyte reactivity, Aβ plaque, tau tangle, and axonal degeneration, and the lowest hippocampal volume and temporal-metaROI cortical thickness. Lower plasma Aβ(42)/Aβ(40) and higher plasma p-Tau(181) were independently and synergistically correlated with higher plasma GFAP and Aβ plaque. Elevated plasma p-Tau(181) and GFAP concentrations were directly and interactively associated with more tau tangle formation. Regarding neurodegeneration, higher plasma p-Tau(181) and GFAP concentrations strongly correlated with more axonal degeneration, as measured by plasma NfL, and lower plasma Aβ(42)/Aβ(40) and higher plasma p-Tau(181) were related to greater hippocampal atrophy. Higher plasma GFAP levels were associated with thinner cortical thickness and significantly interacted with lower plasma Aβ(42)/Aβ(40) and higher plasma p-Tau(181) in predicting more temporal-metaROI cortical thinning. Voxel-wise imaging analysis confirmed these findings. DISCUSSION: This study provides a valuable reference for using plasma biomarkers to detect AD in the Chinese community population and offers novel insights into how astrocyte reactivity contributes to AD progression, highlighting the importance of targeting reactive astrogliosis to prevent AD.",AD
40151521,Plasma biomarker trajectories: Impact of AD genetic risk and clinical progression.,"INTRODUCTION: We examined long-term plasma biomarker trajectories among participants who were cognitively unimpaired and primarily middle aged at baseline and whether trajectories differed by Alzheimer's disease (AD) genetic risk and among those who developed cognitive impairment. METHODS: Plasma amyloid beta (Aβ)(42)/Aβ(40), phosphorylated tau (p-tau)(181), neurofilament light chain (NfL), glial fibrillary acidic protein (GFAP), soluble triggering receptor expressed on myeloid cells, and chitinase 3-like protein 1 were measured longitudinally in 177 BIOCARD participants (M baseline age = 57.7 years; M follow-up = 15.8 years), including 57 who developed cognitive impairment. Measures of AD genetic risk included apolipoprotein E (APOE) ε4 and an AD polygenic risk score (AD-PRS). RESULTS: Compared to non-carriers, APOE ε4 carriers had lower Aβ(42)/Aβ(40) and greater longitudinal increases in p-tau(181) and GFAP; in contrast, the AD-PRS (excluding the APOE region) was associated with greater declines in Aβ(42)/Aβ(40) among APOE ε4 non-carriers. Rates of increase in p-tau(181), NfL, and GFAP were greater among those who later developed cognitive impairment. DISCUSSION: Monitoring changes in plasma p-tau(181), NfL, and GFAP may be particularly informative during preclinical AD. HIGHLIGHTS: We examined plasma biomarker changes in cognitively normal individuals over 15.8 years.Apolipoprotein E (APOE) ε4 was related to lower amyloid beta (Aβ)(42)/Aβ(40) and greater increases in phosphorylated tau (p-tau)(181) and glial fibrillary acidic protein (GFAP).In APOE ε4 non-carriers, higher Alzheimer's disease (AD) polygenic risk score was related to greater Aβ(42)/Aβ(40) declines.P-tau(181), NfL, and GFAP increases were greater among those who progressed to mild cognitive impairment.Results highlight the predictive value of plasma biomarkers during preclinical AD.",AD
38365825,Plasma N-terminal containing tau fragments (NTA-tau): a biomarker of tau deposition in Alzheimer's Disease.,"BACKGROUND: Novel phosphorylated-tau (p-tau) blood biomarkers (e.g., p-tau181, p-tau217 or p-tau231), are highly specific for Alzheimer's disease (AD), and can track amyloid-β (Aβ) and tau pathology. However, because these biomarkers are strongly associated with the emergence of Aβ pathology, it is difficult to determine the contribution of insoluble tau aggregates to the plasma p-tau signal in blood. Therefore, there remains a need for a biomarker capable of specifically tracking insoluble tau accumulation in brain. METHODS: NTA is a novel ultrasensitive assay targeting N-terminal containing tau fragments (NTA-tau) in cerebrospinal fluid (CSF) and plasma, which is elevated in AD. Using two well-characterized research cohorts (BioFINDER-2, n = 1,294, and BioFINDER-1, n = 932), we investigated the association between plasma NTA-tau levels and disease progression in AD, including tau accumulation, brain atrophy and cognitive decline. RESULTS: We demonstrate that plasma NTA-tau increases across the AD continuum¸ especially during late stages, and displays a moderate-to-strong association with tau-PET (β = 0.54, p < 0.001) in Aβ-positive participants, while weak with Aβ-PET (β = 0.28, p < 0.001). Unlike plasma p-tau181, GFAP, NfL and t-tau, tau pathology determined with tau-PET is the most prominent contributor to NTA-tau variance (52.5% of total R(2)), while having very low contribution from Aβ pathology measured with CSF Aβ42/40 (4.3%). High baseline NTA-tau levels are predictive of tau-PET accumulation (R(2) = 0.27), steeper atrophy (R(2) ≥ 0.18) and steeper cognitive decline (R(2) ≥ 0.27) in participants within the AD continuum. Plasma NTA-tau levels significantly increase over time in Aβ positive cognitively unimpaired (β(std) = 0.16) and impaired (β(std) = 0.18) at baseline compared to their Aβ negative counterparts. Finally, longitudinal increases in plasma NTA-tau levels were associated with steeper longitudinal decreases in cortical thickness (R(2) = 0.21) and cognition (R(2) = 0.20). CONCLUSION: Our results indicate that plasma NTA-tau levels increase across the AD continuum, especially during mid-to-late AD stages, and it is closely associated with in vivo tau tangle deposition in AD and its downstream effects. Moreover, this novel biomarker has potential as a cost-effective and easily accessible tool for monitoring disease progression and cognitive decline in clinical settings, and as an outcome measure in clinical trials which also need to assess the downstream effects of successful Aβ removal.",AD
38306599,Evaluation of ATN(PD) Framework and Biofluid Markers to Predict Cognitive Decline in Early Parkinson Disease.,"BACKGROUND AND OBJECTIVES: In Parkinson disease (PD), Alzheimer disease (AD) copathology is common and clinically relevant. However, the longitudinal progression of AD CSF biomarkers-β-amyloid 1-42 (Aβ(42)), phosphorylated tau 181 (p-tau(181)), and total tau (t-tau)-in PD is poorly understood and may be distinct from clinical AD. Moreover, it is unclear whether CSF p-tau(181) and serum neurofilament light (NfL) have added prognostic utility in PD, when combined with CSF Aβ(42). First, we describe longitudinal trajectories of biofluid markers in PD. Second, we modified the AD β-amyloid/tau/neurodegeneration (ATN) framework for application in PD (ATN(PD)) using CSF Aβ(42) (A), p-tau(181) (T), and serum NfL (N) and tested ATN(PD) prediction of longitudinal cognitive decline in PD. METHODS: Participants were selected from the Parkinson's Progression Markers Initiative cohort, clinically diagnosed with sporadic PD or as controls, and followed up annually for 5 years. Linear mixed-effects models (LMEMs) tested the interaction of diagnosis with longitudinal trajectories of analytes (log transformed, false discovery rate [FDR] corrected). In patients with PD, LMEMs tested how baseline ATN(PD) status (AD [A+T+N±] vs not) predicted clinical outcomes, including Montreal Cognitive Assessment (MoCA; rank transformed, FDR corrected). RESULTS: Participants were 364 patients with PD and 168 controls, with comparable baseline mean (±SD) age (patients with PD = 62 ± 10 years; controls = 61 ± 11 years]; Mann-Whitney Wilcoxon: p = 0.4) and sex distribution (patients with PD = 231 male individuals [63%]; controls = 107 male individuals [64%]; χ(2): p = 1). Patients with PD had overall lower CSF p-tau(181) (β = -0.16, 95% CI -0.23 to -0.092, p = 2.2e-05) and t-tau than controls (β = -0.13, 95% CI -0.19 to -0.065, p = 4e-04), but not Aβ(42) (p = 0.061) or NfL (p = 0.32). Over time, patients with PD had greater increases in serum NfL than controls (β = 0.035, 95% CI 0.022 to 0.048, p = 9.8e-07); slopes of patients with PD did not differ from those of controls for CSF Aβ(42) (p = 0.18), p-tau(181) (p = 1), or t-tau (p = 0.96). Using ATN(PD), PD classified as A+T+N± (n = 32; 9%) had worse cognitive decline on global MoCA (β = -73, 95% CI -110 to -37, p = 0.00077) than all other ATN(PD) statuses including A+ alone (A+T-N-; n = 75; 21%). DISCUSSION: In patients with early PD, CSF p-tau(181) and t-tau were low compared with those in controls and did not increase over 5 years of follow-up. Our study shows that classification using modified ATN(PD) (incorporating CSF Aβ(42), CSF p-tau(181), and serum NfL) can identify biologically relevant subgroups of PD to improve prediction of cognitive decline in early PD.",AD
40667715,Genome-wide association of tau neuroimaging and plasma biomarkers in adults with Down syndrome.,"INTRODUCTION: Plasma biomarkers in Down syndrome (DS) accurately detect Alzheimer's disease (AD) pathology. This study aimed to identify genetic loci associated with plasma tau biomarkers (phosphorylated tau [p-tau]181, p-tau217, total tau [t-tau]) and tau positron emission tomography (PET) in DS. METHODS: We examined 375 people with DS from the Alzheimer's Biomarker Consortium-Down Syndrome (ABC-DS) with data on all four tau biomarkers, and 133 subjects from another study of DS with plasma t-tau. Single-trait and multi-trait genetic association analyses were conducted. AD polygenic risk scores (PRSs) were tested with tau biomarkers. RESULTS: Three genome-wide significant associations were identified for p-tau181: TUBAP/rs76523946, P = 2.21E-08; CTNND2/rs142510573, P = 3.04E-08; CLSTN2/rs112448655, P = 3.04E-08, and one for t-tau (JHY/rs77264104, P = 2.84E-08). AD PRS was associated with higher concentrations of tau PET (β = 0.30, P = 6.57E-04), p-tau217 (β = 0.11, P = 4.10E-02), and t-tau (β = 0.12, P = 3.60E-02). DISCUSSION: These data indicate the presence of novel genetic loci in DS affecting plasma tau biomarkers and that AD risk PRS may modify tau neuroimaging and plasma biomarkers in DS. HIGHLIGHTS: Four loci were linked to plasma total tau (t-tau) or phosphorylated tau (p-tau)181 with genome-wide significance. JHY/rs77264104 stays genome-wide significant for plasma t-tau in a meta genome-wide association study (GWAS). Alzheimer's disease (AD) polygenic risk score is associated with tau positron emission tomography (PET), regardless of apolipoprotein E genotype and region. Tau-PET genes in Down syndrome (DS) are enriched in the cerebrospinal fluid phosphorylated tau Alzheimer's disease dementia GWAS catalog. T-tau genes in DS are enriched in a verbal memory GWAS catalog within a mild cognitive impairment cohort.",AD
40638114,Cerebrospinal Fluid Amyloid and Tau Biomarker Changes Across the Alzheimer Disease Clinical Spectrum.,"IMPORTANCE: The trajectories of core Alzheimer disease (AD) cerebrospinal fluid (CSF) biomarkers and the concurrent cognitive changes across the clinical spectrum remain unclear yet are important for clinical trial design. OBJECTIVE: To map longitudinal CSF amyloid, tau, and cognitive trajectories along the clinical spectrum of AD and amyloid-negative controls. DESIGN, SETTING, AND PARTICIPANTS: This longitudinal cohort study included participants with a minimum of 2 CSF samples from Alzheimer Centrum Amsterdam cohorts across the AD clinical spectrum (ie, abnormal amyloid levels at first visit, in different clinical stages) and cognitively normal controls with initially normal CSF markers from November 2003 to July 2019. The maximum follow-up period was 19.5 years (median [IQR], 2 [0-3] years). Data were analyzed from March 2024 to May 2025. EXPOSURES: AD biomarkers (ß-amyloid [Aß]1-42 to Aß1-40 ratio, total tau [t-tau], and phosphorylated tau [p-tau]) detected in serially collected CSF. MAIN OUTCOMES AND MEASURES: CSF AD biomarkers were measured with Lumipulse G600II. Cognition was measured using the Mini-Mental State Examination (MMSE) and delayed memory recall component of the of the Rey Auditory Verbal Learning Test. Analysis was conducted using linear mixed models, including random intercepts and slopes, adjusting for age, education level, and sex. Each model included an interaction term of time and clinical stage to study stage-specific slopes. Biomarker conversion rates per clinical stage were studied by comparing biomarker status between visits. RESULTS: The sample included 197 individuals (103 male [52.3%]), including 83 controls (mean [SD] age, 63 [8] years), 31 individuals with amyloid positivity who were cognitively unimpaired (mean [SD] age, 67 [9] years), 30 individuals with amyloid-positive mild cognitive impairment (MCI; mean [SD] age, 67 [7] years), and 53 individuals with amyloid-positive dementia (mean [SD] age, 65 [8] years). Aβ1-42/1-40 ratios decreased in controls (β [SE] = -8.55 × 10-4 [1.87 × 10-4]; P < .001) and the amyloid-positive cognitively unimpaired group (β [SE] = -1.05 × 10-3 [3.14 × 10-4]; P < .001), and remained low in amyloid-positive MCI and dementia groups. There were 10 controls (12.0%) who reached abnormal amyloid over a mean (SD) of 4.8 (3.4) years. In controls, CSF t-tau (β [SE] = 8.49 [2.55] pg/mL per year; P = .002) and p-tau (β [SE] = 1.36 [0.41] pg/mL per year; P = .001) levels increased over time, and levels also increased for those in the amyloid-positive cognitively unimpaired (t-tau: β [SE] = 17.24 [4.58] pg/mL per year; P < .001; p-tau: β [SE] = 3.10 [0.72] pg/mL per year; P < .001) and amyloid-positive MCI (t-tau: β [SE] = 30.80 [5.99] pg/mL per year; P < .001; p-tau: β [SE] = 4.40 [0.93] pg/mL per year; P < .001) groups, with t-tau increasing further in the dementia group (β [SE] = 24.97 [7.80] pg/mL per year; P = .002). Longitudinal increases in p-tau and t-tau were steeper in the amyloid-positive cognitively unimpaired and MCI groups than in controls, with 10 controls (12.0%) reaching abnormal p-tau and 12 controls (14.5%) reaching abnormal t-tau levels. Delayed recall declined most in the amyloid-positive cognitively unimpaired group (β [SE] = -0.31 [0.07]; P < .001) and was associated with CSF amyloid levels (β [SE] = 102.29 [47.30]; P = .03). MMSE scores declined most in individuals with amyloid-positive MCI (β [SE] = -1.25 [0.12]; P < .001) and dementia (β [SE] = -1.89 [0.13]; P < .001). CONCLUSIONS AND RELEVANCE: In this cohort study, CSF amyloid decreased toward abnormal levels in controls, declined further in the amyloid-positive cognitively unimpaired group , and was concurrent with decline of delayed recall; CSF amyloid stabilized in those with amyloid-positive MCI and dementia, while tau markers became increased (ie, more abnormal) in the amyloid-positive cognitively unimpaired and amyloid-positive MCI groups, suggesting that increase in CSF tau requires abnormal amyloid.",AD
